■和訳
'cause	[短] = because
I'd	[短] = I would, I had
icon	像，偶像
idea	考え
ideal	理想
identical	同一の
ie	すなわち
if	もし
ignore	無視する，省みない
ill	悪い
illegal	不法の，違法の
illness	病気
image	像，心象
imaginable	想像できる
imagination	想像
imagine	想像する
imitate	～を模倣する
imitation	まね
immediate	即座の
immediately	直ちに
immense	広大な，巨大な，無限の
immigration	入国管理，移住
impatient	我慢できない
implement	実行する
implore	哀願する
importance	重要さ
important	重要な
impossible	不可能な
impress	印象づける
impression	印象
improve	改善する
improvise	即興で演奏する，即興で作る
in a line	列になって
in case	～する場合に備えて
in term of	～の観点から，～に関して言えば
in the future	今後は，これからは
in the long run	長い目で見れば，長期的には
incapable	無能な
incarnation	具体化，化身
inch	インチ
inclined	傾ける
include	含む，入れる；[反]exclude
incomparable	比較できない
incorrect	誤った
increase	増加する
increased	増加した
increases	増える
increasingly	ますます
incredibility	信じられないこと，信用できないこと
incredible	信じられない，信用できない，途方もない
incredibly	信じられないくらい
indeed	ほんとうに
indelible	消すことの出来ない，忘れることの出来ない
independence	独立
independent	独立の
independently	独立して
index	索引
indicate	示す
indicated	表示する
individual	個人
industry	産業
industry standards	業界標準
inevitable	避けられない，のっぴきならない，必然的の
inflict	(苦痛を)与える
influence	影響
inform	知らせる
informal	形式ばっていない
information	情報
informed	知識のある
initial	最初の
initialization	初期化する
inner	内側
inprove	改善する
input	入力
insert	挿入
inside	内側
inspiration	霊感
install	導入
installation	据え付け
installed	導入した
instance	実例
instead	その代わりに
instinct	本能
instruction	命令
insure	保証する
intellectual	知的な
intelligence	知力
intelligent	知的な
intend	～するつもり
intentionally	故意に
intently	熱心に
interest	興味
interested	興味を持った
interesting	興味深い
interface	接触面
internal	内部
international	国際的
interpreter	解説者，通訳
interrupt	割り込み
intervai	間隔
intervention	介入，干渉
inteview	取材，面談
into	の中へ
intricate	複雑な
introduce	紹介する
introduction	前書き
introductory	紹介の
invade	侵入する
invaluable	非常に貴重な
invent	発明する．でっち上げる
invention	発明，考案，新案
inventive	発明の才のある
inventor	発明者，発明家
inventory	目録，在庫品，棚卸し，目録を作る，棚卸しをする
investigation	捜査
invitation	招待
invoke	呼び出す
involving	伴う
issue	発行
issue	論点，問題
item	項目
its	それの
itself	それ自身
Jan.	Januaryの略，1月
January	1月，Jan.は略
Jersey	ジャージー島；イギリス海峡にある Channel Islands 中の最大の島
jewelry	[米] 宝石，貴金属　[英] = jewellery
jewellery	[英] 宝石，貴金属　[米] = jewelry
job	仕事
join	結合する
joke	冗談
journeyman	年季奉公が終わり一人前になった職人
joyful	うれしい
judgment	[米] 判決，審判，裁判　[英] = judgement
judgement	[英] 判決，審判，裁判　[米] = judgeement
Jul.	7月
July	7月
jump	飛ぶ，跳ねる
jumped-up	にわか作りの
jumping	跳躍
Jun.	6月
June	6月
jungle	そう林，密林
just	ちょうど
justice	正義
keen	鋭い，鋭敏な
keep	保つ
keeper	番人，管理人
keeping	維持，保存，保管
kernel	核
key	鍵
keyboard	鍵盤，鍵盤楽器
kill time	時間をつぶす
kind	親切
kinda	[短] = knd of
kindly	親切に
kindness	親切
kit	道具箱
kneel	ひざまずく
knife	小刀，包丁
knock	打つ，叩く，とんとん叩く
know	知る
knowledge	知識
known	知られている
laid-back	肩の力を抜いた，自然体の，悠々とした
lamp	灯り
land	陸
landfill	ゴミ焼却場
language	言語
large	大きい
larger	より大きい
last	終わり，最後の，とっておきの
late	おそい
lately	近ごろ
later	よりおそい
latest work	最新作
latter	後者の
laud	賛美する，賞賛する
lawyer	弁護士
lay	置く
layer	層
lead	中心の，主役の，導く
lead vocal	主旋律を歌う人で、主にロック・バンドの歌手について言う
leader	主導者
leader dots	前略や中略、後略などを示す符号「...」を言う，= three dots
leading	主要な
learn	学ぶ
learning	学習
least	最小
leave	残す
left	左
legal	法律上の
lend	貸す
length	長さ
less	より少ない
let	許す
letter	手紙
level	水準
liberty	自由
librarian	図書館職員
library	図書館
licence	[英] 許可，認可，免許，鑑札，免許証　[米] = licence
license	[米] 許可，認可，免許，鑑札，免許証　[英] = licence
licensed	許可した
life	生命
life-style	生き方，生活態度
lift	持ち上げる，上げる
light	光，灯火，火
lighter	点火器
lightly	軽く
lightning	稲妻，電光石火の
like	～の様に
limit	限界
limitation	限界
limited	限られた，一応の，まずまずの
line	線，歌詞
link	連ける，連系，関連，連絡
list	表，一覧表
little	小さい
load	荷，積み荷，負担
loaded	荷を積んだ
local	generalの反対語で「全国の」に対して「ある特定の土地の」の意，日本語の「地方の」、「田舎の」の意ではない，その英語はprovincial, rural, regional を用いる
local	地方的
locate	位置を示す
location	位置，場所
lock	錠
log	丸太，航海日誌
logo	意匠文字
long	長い
look	見る
looked	見る
loop	輪
lose	失う
lost	失った
lot	たくさん
loud	大きい
loudly	大声で
low	低い
lower	降りる
loyal	忠実な
luck	運
lucky	幸運な
machine	機械
made	作った
magazine	雑誌
mage	魔法使い
magic	魔法
magnet	磁石
magnetic	磁石の
mail	郵便
mailbox	郵便ポスト
main	主要な
mainstream	主流，本流
maintain	維持する，持続する
maintenance	維持，持続
major	主要な，一流の
make	作る
maker	製作者
making	製造
manage	管理する，運営する，経営する
management	処理
manager	支配人，監督，やりくりをする人
managing	支配する，経営する
manner	方法
manual	便覧，入門書，案内書
manufacturer	制作，製造，製品
many	多くの
map	地図
mapper	作図者
mapping	作図
maps	地図
Mar.	3月
March	3月
mark	印
market	市場
mask	仮面
massive	大規模な，大々的な
master	主人，雇い主
mastermind	黒幕
masterpiece	傑作
mastery	支配
math	数学
mathematical	数学の
mathematics	数学
may	できる; May:5月
maybe	たぶん
mayor	市長
MC	master of ceremonies または microphone controller の略で、”司会者=マイクを持つ持つ者”から来ている俗語でラッパーを意味する
me	私に
mean	意味する
meaning	意味
means	方法，手段
measure	計量
measured	測った
meet	会う
meeting	集会
member	一員，成員，会員
memorial	記念の
memory	記憶
menu	献立表
merchandise	商品
merge	合併する，合流する
merger	合併
message	通信，言付け，伝言
messenger	配達人
meter	[米] メートル　[英] = metre
method	方法
metre	[英] メートル　[米] = meter
middie	中間
migrate	移動する，移住する
migth	能力
might've	[短] = might have
military	軍隊の
millimeter	ミリメートル
million	百万
mind	心
mine	私のもの
minimum	最低の
minor	より小さな
minute	分
miscast	不適任な役に当てる，下手な役を当てる
miss	失敗
missile	飛び道具，ミサイル
missing	欠けている
mistake	まちがい
mistaken	間違った
mix	混ぜる
mode	様式
model	模型，雛型
moderate	適度の
modern	近世の，現代の
Modern Art	近代美術
modified	修正した
moment	瞬間
monday	月曜日
money	お金
moniker	渾名，愛称	
monitor	忠告者，監視者
monster	怪物
month	月
moodily	不機嫌に，憂鬱に，むっつりと
more	より多く
most	最も多く
mostly	おもに，大部分が
mother	母
motherland	母国
motor	原動機
mouse	二十日鼠，パソコンの入力装置の一種
move	動く
movement	動作
movie	映画
Mr	さん，氏，様，君，先生; misterの略でSir, Lordなど他の敬称がない男性の姓名に冠する敬称，Mrとドットなしで記すのは最近の英国あるいはカナダ、オーストラリアで書かれた可能性が大きい
Mr.	さん，氏，様，君，先生; misterの略でSir, Lordなど他の敬称がない男性の姓名に冠する敬称，Mrとドットなしで記すのは最近の英国あるいはカナダ、オーストラリアで書かれた可能性が大きい
much	多くの
multiple	複合の
music	音楽
musicianship	音楽家としての才能
must	～しなければならない
mutter	つぶやく
muttering	つぶやく
my	私の
myself	私みずから
mysterious	不可解な
mystery	神秘
nail	爪
name	名前
nap	うたた寝
narrow	狭い
nation	国民
national	国民の
native	生まれた
natural	自然の
navigation	航行，航海
near	近くに
nearby	近くの
nearly	殆んど
neat	清潔な
necessary	必要な
neck	首
need	必要
needed	必要だ
negotiation	交渉
neighbor	隣人
neighborhood	近く
neither	どちらも～でない
Netherlander	オランダ人
Netherlands	ネーデルランド：俗にオランダ( Holland )と言う
network	網，網目細工
never	決して～でない
new	新しい
news	報道，新聞記事
next	次
nice	素敵な
night	夜
noble	高貴な
nobody	だれも～でない
noise	騒音
nominal	わずかの
non	(否定)
none	何も～ない
nor	また～も～ない
normal	標準
normally	標準どうりに
north	北
nose	鼻
notation	記数法
note	音符，覚書
notebook	筆記帳，雑記帳
nothing	何も～ない
notice	予告
notified	通知する
Nov.	11
novelty	新案商品，目先の変わった商品
novelty goods	景品広告
novelty song	1920-30年代に流行した面白おかしい歌
November	11月
novice	初心者
now	今
number	数
numeric	数の
numerous	多数の，たくさんの
nurse	看護婦
nylon	ナイロン
Oaktown	[俗]　カルフォルニア州オークランドの俗称
oar	櫂，櫓
obey	～に従う
object	対象物
objection	異議
objective	目的
observation	観察
observe	～を観察する
obstacle	障害
obstacles	障害物
obtained	手に入れる
occur	起こる，生じる
ocean	大海
oclock	時間
Oct.	10月
October	10月
odd	奇数の
off	離れた
offensive	攻撃
offer	申込み
offered	提供した
offering	贈物
office	事務所
officer	将校
often	しばしば
often-read	たびたび読む
oil	油
Old School	[俗] 古い，古き良き時代の，昔のままの
old	古い
older	より古い
oldest	最も古い
omit	～を抜かす
omitted	省略した
omnibus	同一の作家の既刊の作品を一冊にまとめたもの
omnibus book	個人の作品または同類の名作家の作品をまとめた廉価本
on earth	一体全体
once	一度
one	1
only	唯一の
onto	～の上に，～に向かって
open	開く
operate	操作
operating	操作する
operation	操作
opportunity	機会
opposing	対抗する
opt	選ぶ
option	選択肢
optional	任意の
or	または
oral	口頭の，口上の
orchestra	管弦楽団
order	注文
ordering	注文する
orders	注文
ordinary	普通の
organic	有機的な
oriented	～志向の，～本位の
original	独創的な
other	他の
others	他の物
ouch	痛い
ought	べきである
our	私達の
ours	私達のもの
ourselves	私たち自身
out of	～外に
out there	向こうに
outta	[短] = out of
outcome	結果，成果
output	出力，生産高
outside	外側
outstanding	目立った，顕著な
oven	天火
over	～の上に
overall	全体に渡る
overhaul	徹底的に点検する
overhead	頭上に，真上に
overlooked	見落とされた，見過ごされた，不遇の
overtime	時間が経つにつれ，そのうちに
overwrite	上書き
owe	借りがある
own	自身の
owners	所有者
oxygen	酸素
pace	歩調
pacific	太平洋
pack	包み
package	包装
packet	小包
page	ページ
paid	有料の
pail	手桶
pain	痛み
paint	塗る
pair	一対
palace	宮殿
panel	パネル
paper	紙，[俗] (paper moneyからきている) 金
paperback	紙表紙の興味本位の本，赤本：俗受けを狙った低俗な雑誌の類，いかがわしい内容の本
parallel	並列
parallelogram	平行四辺形
parcel	小包
parents	両親
park	公園
part	部分
particular	特別の
particularly	特別に
partner	組合員，連れ合い
party	会合
pass	通る
passage	通路
passengers	乗客
passion	激情，熱情，熱愛
passionate	熱烈な，熱情的な
password	合言葉
past	過去
path	小道，歩道，通路
paths	小道，歩道，通路
patrons	常連
pause	一時停止
pay	払う
payable	支払うべき
peace	平和
peaceful	平和な
peacefully	平和に
peacetime	平時
peak	最高点，絶頂，峰，山頂
peasant	農民
peculiar	変な
peer	同輩
peers	同輩
pending	～するまで
people	人々
per	～につき
percent	パーセント(%)
perennial	絶え間のない，長続きのする，多年生の
perfect	完全な
perform	成し遂げる，演奏する，演じる
performance	演技，演奏，実行，遂行，性能
performed	演奏する
performer	演技者，演奏者，実行者，遂行者，履行者
perhaps	たぶん
period	期間
permission	許可
permitted	許可する
personal	私的な
pests	害虫
phone	電話
phonograph	蓄音機
photo	写真
photograph	写真
phrase	句節
physical	自然の
piano	ピアノ
pick	つつく
pick-up	側部の低い、無蓋の車台のついた商品集配用の小型トラック
picture	絵
piece	一片，作品，楽曲
pipe	管，筒，パイプ
pipeline	送油管
pique	（好奇心を）刺激する
pivotal	中心の，重大な
pivotal character	重要人物
place	場所
placeholder	入力のヒント
placing	置く
plain	明白な
plan	計画
plane	平面
planet	惑星
plant	設備
plate	薄い板
play	演奏する
playback	再生
player	再生装置
please	どうぞ
pleasure	楽しみ
plenty	豊富
plus	プラス
pocket	ポケット
pocketbook	紙入れ，札入れ
poem	詩
poet	詩人
point	要点
point out	指し示す，指摘する
pointed	尖った．鋭い
pointed out	指し示した，指摘した
pointer	指示棒
pole	棒
policy	方針
politely	丁寧に
political bias	政治的偏向
poll	投票，選挙，投票する，得票する
poor	貧しい
popular	大衆音楽
port	港
portable	携帯の
portion	部分
position	地位
possession	所有
possible	可能な
post	掲載する，掲示する
postage	郵便料金
potential	可能性
pound	ポンド
power	力
powerful	強力な
powerhouse	発電所
powwow	北米インディアンの儀式
practical	実用的な
practice	練習
precautions	用心
preferably	より望ましい
prepare	準備する
presage	前兆，予感，予示する
presence	存在
present	贈物
press	押す
press conference	記者会見
pressing	押さえる
pretty	かわいい
prevalence	普及，広く行われていること，優勢
prevalent	広く行われている
prevent	妨げる
prevention	妨害
preview	試写会，試演，予告編，番組予告
previous	前の
previously	前もって，以前は
price	代価
prices	定価
priest	僧侶
priests	神官
primary	第一の
prince	王子
print	印刷する
printable	印刷できる
printed	印刷した
printer	印刷機
prize	賞，賞品，賞金
probably	たぶん
problem	問題，難問
problems	問題
procedure	手順
proclaim	宣言する，発表する
produce	生産する，産出する，製造する
producer	生産者，演出者，製作者
product	製品，産物
production	生産，製造，製作，生産高
productions	製品
products	製品
program	番組，番付，予定，計画，予定表
progress	進行
prolonging	延長している
promise	約束
prompted	刺激する
proper	適当な
properly	正しく
property	所有権
proprietary	所有の
proprietors	所有者
protective	保護する
protocols	取決め
proud	高慢な
prove	証明する
provide	供給する，提供する，用意する，扶養する
provided	もし～ならば
provides	提供する
psych	心理的にまいらせる，不安にさせる，出し抜く，裏をかく，見抜く，見破る
psychedelic	万華鏡のような，催眠的な，蛍光色の
public	公共の
public figure	有名人
public relations	広報活動
public relations department	広報部
publication	公表(出版)
publicity	宣伝，広報
published	公表した
publisher	出版業者
publishers	出版業者
pueen	女王
puff	ぷっと吹く
pull	引く
pulp magazine	ざら紙を使った扇情的な安雑誌，粕取り雑誌，低俗な作品（読み物）
pulp magazine	低級な雑誌，粕取り雑誌：三号でつぶれるような粗悪な雑誌
pulsing	脈打つ
purchase	購入，購入する
purchased	購入した
purchases	買う
purchasing	購入
purpose	目的
push	押す
put	入れる
pyramid	ピラミッド，金字塔
qualification	資格
quality	品質
quantity	量
quarrel	口論
quarter	4分の1
quest	探求，追及
question	問い
questions	質問
quests	探求
quiet	まったく，完全に
quire	全く
quit	やめる
quotes	引用する
race	人種
rack	棚
radar	電波探知機
radio	ラジオ
rain	雨
raise	（高い位置に）上げる，（値段、給料などを）上げる，育てる
ramble	ぶらつく，散歩する
random	不規則な
range	範囲
ranks	階級
rare	まれな
rate	率
rates	割合
rather	どちらかと言えば
raunchy	野卑な，みだらな，好色な，だらしのない，いいかげんな，安っぽい，きたならしい
reach	届く
reacts	反応する
read	読む
readily	直ちに
reading	読み込む
ready	用意して
real	真実の
real estate	不動産
real estate agency	不動産業者
realise	[英] 実現する，実行する，悟る，実感する，理解する　[米] = realize
realize	[米] 実現する，実行する，悟る，実感する，理解する　[英] = realise
realized	実現された
really	真に
rear	近く
reason	理由
reboot	再起動
recall	再呼出し
receive	受け取る
received	受ける
recent	最近の
recently	近頃，最近
recession	不況
recognition	承認，認可
recognize	認知する，認める，承認する
recognized	認められた，承認された
recommend	推薦する
recommended	推薦した
record	記録
red	赤
redirection	再命令
reduces	減らす
reducing	減らしている
refer	調べる
reference	参考
referred	参照
reflect	反映する
reform	改革，刷新
refrain from	～を控える
refund	払い戻し
refuse	断る
regard	注視する
region	地域，地方
regional	地域的な，地方的な
register	登録
registration	登録
regular	正規の，正選手，正出演者，定期出演者，常連出演者
regularly	規則正しく
reinforce	強化する
reinforcement	補強，強化
related	関係ある
relative	相対的な
relatively	比較的
release	発表する，公開する
release	封切りする，公開する，公表する，発表する，発売する　*名詞としても用いられる，売り出す，新発売
released	発表された
reliable	信頼できる
religion	宗教
remain	残る
remedy	救済する
remember	思い出す
remove	取り去る
removing	取り除く
remuneration	報酬
rename	改名する，命令し直す
renown	名声
renowned	名高い，有名な
repair	修理する
repeat	繰り返す
repeated	繰り返された，たびたびの
repeatedly	繰り返して
replace	元へ戻す
replaced	元へ戻す
replacement	入替え
replacing	元へ戻す
reply	答える
report	報告
reporter	記者
represent	描く
representative	代表者
representing	表す
request	要求
requests	再び求める
require	必要とする
require	要求する
required	要求した
requirement	要求
requirements	必要条件
requiring	必要とする
reset	置き直す，組み替える，（折れた骨を）繋ぎ合わせる
reside	住む，居住する
resident	常駐する
residents	在住
resides	住んでいる
resolution	解像度
resolving	分析する
resources	資源
respective	それぞれの
respectively	それぞれ
response	応答
responsible	責任を負う
rest	休む
restore	元に戻す
restriction	制限，限定，制限条件
result	結果
resume	再び続ける
resurrect	よみがえらせる
retail	小売り
retailed	小売りした
retained	保持
retreat	退く
return	帰る，戻る
reused	再び使う
revenge	あだ討ち
reverse	逆の，反対の，あべこべの，逆，反対，あべこべ，逆にする，反対にする，あべこべにする
review	評論
reviews	批評
revised	修正した
revision	修正
revivalist	復興者
rhyme	脚韻，押韻，*rimeとも略される
rhythm	律動
ribbon	リボン
rice	米
rich	金持ちの
rid	免れる
ride	乗る
right	右
ring	鳴らす
ripple	さざ波，さらさらという音
rise	上がる，上げる
river	川
road	道路
roast	～を焼く
rob	～から奪う
robber	強盗
robe	ローブ，式服，礼服
rock	岩
rogue	悪漢
roll	ころがる
roof	屋根
room	部屋
root	根
rope	ロープ
rotate	交代する，循環する
rotation	交代，回転，循環
rough sleeper	路上生活者，野宿者
roulette	ルーレット
round	丸い
round-trip ticket	往復券
rousing	鼓舞する
routines	手順
royalties	印税
rub	～をこする
rubber	ゴム，ゴム製の
rude	無作法な
rug	敷物
ruin	破滅
ruins	廃虚
rule	規則，規定，法則
rumor	[米] 風説，噂，評判　[英] = rumour
rumour	[英] 風説，噂，評判　[米] = rumor
run	走る，流れる
run the risk	危険を冒す
running	走る，連続した
rush	突進する
rvelte	すらりとした
sack	袋
sad	悲しい
safe	安全な
safety	安全
same	同じ
sample	見本
sarve	仕える
save	守る，保つ，蓄える，貯蓄する
saving	救う，救済する，節約する，救助，救済
savings account	普通預金
say	言う
scatter	まく，散らす
scenario	筋書き，台本
scene	場面
scenery	風景
school	学校
school	流派
scientific	科学の
score	得点
scrape	掻き集める，寄せ集める
scraping	画面上に表示される情報をプログラムを使って評価し必要な情報を収集する事
screen	障子，映写幕，銀幕
scroll	巻物
sea	海
seacoast	海岸
seaman	船乗り
seamlessly	継ぎ目ない
seaport	港町
search	捜索
searching	捜索する
seaside	海辺
season	季節
seat	席
second	秒
secondary	第二の
secondhand	中古の
secret	秘密，秘訣
section	区画
see	見る，会う
seeing	～をみると，～なので
seen	～のように見える
segment	部分，文節，区分
select	選ぶ
selected	選択した
selecting	選ぶ
selection	選択
self-defence	自衛手段
sell	売る，捨てる，裏切る
send	送る
sense	感覚
sensibility	感受性，敏感，多感
sensibly	目立つ
sent	送られた
sentence	文
Sep.	9月
September	9月
sequel	続編
sequence	連続
series	連続，続き物
service	奉公，奉仕
session man	特定のバンドに所属しないで、さまざまなアーティストと共演するミュージシャン
session musician	session man と同じ
set	据える，一組，一式
set up	起こす，立てる，組み立てる
settle	落ち着く，安住する
several	数個
shade	日陰
shadow	影
shadowing	影にする
shady	日陰の
shake	～をゆり動かす
shakes	振る
shall	～だろう
shame	恥
shape	形
share	分ける
shell	殻，鞘
shift	変わる，移る，転じる，変更，交代
shine	光る
ship	船
shipping	送料
shop	店
shops	店
short	短い
shortcut	近道
shots	写真
should	～すべきである
should've	[短] = should have
shoulder	肩
shout	叫ぶ
show	見せる
showing	見せる
shown	見せる
shut	締める
sick	病気の
sickness	病気
side	側面
side by side	横に並んで
side effect	副作用
sidewalk	歩道
sign	署名，兆候，看板，掲示，標識，お告げ，記号，符号，署名する，ため息をつく
signal	信号，合図，信号機
signature	署名
silence	沈黙
silver	銀
similar	類似の
simple	簡単な
simply	簡単に
simulat	装う，真似る，似せる
simulation	真似，見せ掛け，偽り
simultaneously	同時に
since	それ以来
single	単独の
sit	座る
sitcom	[短] situation comedy 連続ホームコメディ
site	位置，場所，土地
size	寸法，大きさ
sketch	写生画，見取り図
sketchbook	写生帳
skills	技量
skip	軽く飛ぶ，跳ねる，飛ばす
sky	空
slab	厚板
slap	平手打ち
slave	奴隷
slavery	奴隷制
sled	荷そり
sleek	流線型の，格好いい
sleep	眠る
sleeping	眠っている
sleepy	眠い
sleeve	袖
slept	眠った
slightly	少し，かすかに
slings	投石器
slowly	遅く
small	小さい
smaller	より小さい
smile	笑う
smoke	煙
smoothly	滑かに
snake	蛇
sneeze	くしゃみ
snow	雪
snow-white	雪のように白い
snowballing	雪合戦
snowman	雪だるま
snowy	雪が降る
so long as	～である限りは
so-and-so	だれそれ，なにがし
so-called	いわゆる，世間で言う
society	社会
soft	柔らかい
soldier	兵士
solicit	懇願する，（注意を）促す
solicitation	懇願
solidify	固める，強固にする	
solist	独奏者，独唱者
solo	独奏
solos	独奏
solve	解決する
solved	解決
solves	解決する
solving	解決
some	多少の
somebody	だれか
something	何か
sometimes	時々
somewhat	多少
somewhere	どこかに
songster	歌手
songstress	女性の人気歌手
songwriter	ポピュラー音楽の作詞、作曲または両方をする人
soon	じきに
sorry	すまない
sort	分類する
sorta	[短] = sort of
soul	魂
sound	響き，音響
source	源泉，出所，原因
south	南
space	空間
spaceship	宇宙船
span	渡る，及ぶ
speak	話す
speaker	話者
special	特別の
specific	特別の
specification	詳説
specifies	指定する
specify	指定する
specifying	明示する
spectacular	壮観な，目を見張る
spectator	見物人
speech	演説，講演，挨拶，談話
speed	速度
speeding	超速
spell	綴る，まじないの文句，呪文
spend	費やす
spider fly	蜘蛛に似せて作った毛鉤の一種
spokesman	広報担当者
spot	斑点
spread	広げる
spring	飛ぶ
square	区画
square	四角
stadium	競技場
stage	舞台
staicase	階段
stain	よごれ
stair	段
stairway	階段
stand	立つ
stand for	～の略である
standard	標準
standards	標準
star	人気者，花形，立役者
start	出発する
state	状態
stated	規定の，定期の
station	駅
statistics	統計
status	状態
stay	留まる
stem	茎，葉柄
step	階段
step down	退陣する，辞任する
stick	刺す
still	まだ
stimulate	刺激する
stock	在庫
stone	石
stop	止める
stops	停止
store	蓄える
stores	必要品
storm	嵐
story	物語，（建物の）階：10-story 10階
straight	まっすぐ
strange	未知の
strategies	方式(作戦)
strategy	戦略
stream	流れ
street	通り
strength	強さ	強さ
strike	打つ
strives	努力する
strong	強い
structure	構造
structures	構造
studio apartment	bed-sitting-room と同義，	
studios	映画撮影所，映画会社，（ダンスなどの）練習所
study	勉強
stuff	資料，物事，事項
style	格好
stylish	粋な
stylist	名文家
subject	科目
subject	自由に～できる
submit	提出する
subscription	予約
subsidiary	子会社
substantial	かなりの
substitute	置き換える
suburb	郊外，近郊
subway	地下鉄
success	成功
successfully	首尾よく
such	このような
sudden	急な
suddenly	急に
suffer	苦しむ
suffice	足りる
suggest	思い付かせる
suggestions	提案
suit	合う
sum	合計
summary	略式の
superb	素晴らしい，見事な，壮麗な，豪華な
superior	優れた
supervise	監督する
supervisor	監督者
supplant	～に取って代わる，奪い取る
supplemental	補助の
supplied	供給された
supply	供給する
support	支える，助ける，裏付ける，与える，支持する，利用可能にする，提供する，伴奏する，助演する
supporting	支持する
suppose	想像する
supposed	想像された
sure	確かな
surface mail	船便
surprise	驚く
survive	生き残る
suspend	保留する
sutudio	放送室，録音室，仕事場，画室，彫刻室，（美術や写真の）制作会社
swap	取り替える
sweep	～を掃除する
sweet	甘い
switch	開閉器
symbol	象徴
system	組織，制度，体系
table	食卓，表
tack	びょう
take	取る
take a chance	賭けてみる
take over	引き継ぐ
takes	取る
tale	うわさ
talented	有能な
tales	うわさ
talk	話す
tall	高い
tanks	戦車
tape	平ひも，テープ
target	的
task	仕事
tasks	仕事
tavern	宿屋
teach	教える
teach myself	独学で
teacher	先生
team	組
tear	裂く
technical	専門の，専門的な，技術の
technically	専門的に
technique	技術，技巧，手法
technology	科学的技術
telephone	電話
tell	告げる
temple	神殿
ten	10
terminate	終わる
terms	条件
territory	領土
test	試験
Tex.	Texasの略
Texan	テキサス州人
Th.	Thursdayの略；木曜日
than	～よりも
thank	感謝する
thankful	感謝している
thanks	感謝する
the Library of Congress	議会図書館（ワシントンD.C.にある米国議会の附属図書館）
the overall cost	全費用
the overall length	全長
the whole time	ずっと
theater	劇場
their	それらの
them	それらを
themselves	彼ら自身，それら自体
then	～よりも
there	そこに
thereafter	その後
therefore	その結果，それ故，それで
therein	その中に
these	これら
they	それらは
thick	厚い
thicken	厚くなる
thickly	厚く，太く，濃く
thickness	厚さ，太さ，濃さ
thief	泥棒
thin	薄い
thing	物事
think	考える
those	それらの
though	～だけれども
thought	考え
thousands	たくさんの
three	3
three dots	前略や中略、後略などを示す符号「...」を言う。= leader dots
through	～を通して
throw	投げる
thunder	雷
ticket	券
tie	結ぶ
tightly	しっかりと
till	～まで
time	時間
times	時間
timing	適時
tired	疲れた
to	～に，～へ，～まで，～のために，～する，～すること
to scale	実物大で
to the brief	簡単に言えば
today	今日
together	一緒に
tomb	墓，霊廟，納骨堂
too	～もまた，あまりに
top	頂上，天辺
torch singer	失恋の曲を歌う歌手
total	全体の，統計の
touch	触れる，感動させる
touching	悲しい，哀れな，人の心を動かす
tour	旅行，観光旅行，漫遊
toward	～の方へ
town	町
trace	跡，足跡，形跡
tracer	追跡者，捜索者，曳航弾，発煙弾
track	足跡，形跡，走路
trade	商売，交易，貿易
trademark	商標
tradition	慣例，因習，伝統
traditional	慣習的，伝統的
tragic	悲劇の
train	行列
trained	訓練された
tramp	夢をみながらの放浪
transfer	乗り換え
transplant	移住する
transport	移送，輸送する	
transportation	運搬
travel	旅行
traveler	[米] 旅行者，旅行家，旅人　[英] = traveller
traveller	[英] 旅行者，旅行家，旅人　[米] = traveller
treasure	宝物，財宝
tree	木
trend	傾向，趨勢，動向
trial and error	試行錯誤
trilogy	三部作
trip	旅行
trival	部族の
trouble	困難
true	真実の
true colors	本当の姿，本来の姿
trust	信用する
truth	真実
try	試みる，努める，努力する
trying	苦しい，辛い
tube	管
tuesday	火曜日
tumble	倒れる
tune	～の調子を合わせる
turn	回す，回転させる，方向を変える
twelfth	12番目
twelve	12
twentieth	20番目の
twenty	20
twice	2度
twilight	薄明り
twist	意外な転回，急変，（事実を）捻じ曲げる，（意味を）曲解する
two	2
TX	Texasの略；郵便用語上の略
type	型，種類，活字
typewriter	タイプライター
typist	タイピスト
tyrant	圧政者
ugly	醜い
uh	[米] はい　[英] = er
ultimate	究極の
ultra	過激な
umbrella	雨傘
umpire	審判員
uncivil	無作法な
undeniable	否定出来ない，極めて優秀な
under	～の下に，の下へ，～以下
underground	地下や大矢家でない所で作られ発表されている反体制的・前衛的な芸術や出版物
understand	理解する
understanding	理解する
understands	理解する
unique	独特の，独自の，唯一無二の，珍しい，風変わりな
uniquely	比類なく，独特に
uniqueness	独特，風変わり
unit	単位，構成単位
universal	汎用
universe	全世界
unlearn	忘れる
unless	もし～でなければ
unlike	似ていない
unlock	錠を開ける
until	～まで
up	上へ，上に，上で
upcoming	間もなく起こる，近日公開される
updated	更新した
updates	更新
upgrade	等級を上げる
upload	（小型コンピュータから大型コンピュータへデータやファイル）を転送する
upon	その上に
Urban transportation	都市交通
us	私達
usage	使用法
use	使う
use	使う
used	使っている
user	使用者
using	使っている
usual	いつもの
usually	通常
utility	有用性，有益
utility company	公益事業会社
vacation	休暇
vain	無駄な
valid	正当な，有効な
validate	有効にする，批准する
valuable	貴重な
value	価値
vane	風見
various	さまざまな
vary	変更する
vast	巨大な
vendors	売る人
venue	開催地，裁判地，現場，現地，会場
venues	開催地，裁判地，現場，現地，会場
verified	実証した
verify	確かめる
versatile	多様な
version	説明，意見，見解，異説，～版，翻案，脚色，編曲，翻訳，訳書，訳文
very	大変
veteran	実践経験を積んだ
via	～経由で
vibe	= vibration; 相互反応する，気持ちが合う
